oracle,display_model,model,n,cc_base,cc_oracle,cc_delta,cc_delta_pct,pass_at_1_base,pass_at_1_oracle,judge_score_oracle,run_dir
Zen,Claude 4.6,anthropic/claude-sonnet-4-6,50,5.753,4.8,-0.9530000000000003,-16.56527029375978,88.7,89.3,8.796,runs/slopbench_full_claude
Zen,GPT-5.5,openai/gpt-5.5,50,5.643,4.224,-1.4189999999999996,-25.14619883040935,92.7,94.0,7.927,runs/zen_full_gpt55
Zen,Gemini 2.5 Pro,google/models/gemini-2.5-pro,50,5.146,3.959,-1.1869999999999998,-23.06645938593082,80.7,78.7,7.017,runs/zen_full_gemini
Karpathy,Claude 4.6,anthropic/claude-sonnet-4-6,50,5.758,5.576,-0.18200000000000038,-3.160819729072601,88.7,90.7,8.98,runs/karpathy_full_claude
Karpathy,GPT-5.5,openai/gpt-5.5,50,5.643,5.714,0.07100000000000062,1.2581959950381112,92.7,92.7,8.483,runs/karpathy_full_gpt55
Karpathy,Gemini 2.5 Pro,google/models/gemini-2.5-pro,50,5.146,5.023,-0.12300000000000022,-2.390205985231252,80.7,79.3,6.34,runs/karpathy_full_gemini
